datetime	sensor_0	sensor_1	sensor_2
time	continuous	continuous	continuous
	class	class	class
1601482286.0	65.56786	59.89038	75.08607
1601482285.0	64.88784	60.35677	74.07865
1601482284.0	64.784	61.0323	72.93987
1601482283.0	63.63518	61.3975	69.51794
1601482282.0	67.06848	62.9752	72.03635
1601482281.0	68.30039	64.73447	70.87194
1601482280.0	70.13647	66.16695	70.51067
1601482279.0	68.84479	67.5425	66.76759
1601482278.0	69.42789	69.63419	66.03548
1601482277.0	72.38586	68.03973	67.0145
1601482276.0	74.57891	67.17002	65.449
1601482275.0	76.04482	64.17453	64.88756
1601482274.0	77.77337	63.52724	66.70094
1601482273.0	78.6625	61.70492	66.26981
1601482272.0	77.54619	60.71063	62.36805
1601482271.0	78.13789	61.68374	65.67825
1601482270.0	75.4446	63.37359	67.97898
1601482269.0	75.54399	60.9981	64.82271
1601482268.0	74.9688	61.20908	63.08834
1601482267.0	73.91982	57.69918	58.38428
1601482266.0	71.75371	58.82821	63.46029
1601482265.0	72.76581	58.4952	62.62273
1601482264.0	73.743	58.90915	64.8858
1601482263.0	77.82124	58.93012	63.25526
1601482262.0	78.63777	60.97192	63.6313
1601482261.0	80.34051	62.20558	62.79162
1601482260.0	81.32675	62.03883	64.05589
1601482259.0	80.70797	65.94432	62.81023
1601482258.0	77.56451	66.81595	65.13774
1601482257.0	78.70079	66.16111	66.01042
1601482256.0	75.77743	65.81957	67.25941
1601482255.0	72.04906	65.21898	66.99278
1601482254.0	72.77904	63.95665	67.94768
1601482253.0	71.70882	64.66425	67.75291
1601482252.0	71.22441	62.63481	68.95078
1601482251.0	69.13136	61.99774	68.68617
1601482250.0	71.10564	62.61044	70.86697
1601482249.0	70.6123	62.55744	72.99961
1601482248.0	70.16625	61.13883	72.15879
1601482247.0	67.29326	61.44881	73.72059
1601482246.0	69.37671	61.16731	74.54347
1601482245.0	67.57151	60.61145	74.77295
1601482244.0	67.93627	62.44056	76.73415
1601482243.0	67.39327	59.96986	77.75381
1601482242.0	64.99247	60.03304	75.79122
1601482241.0	63.7986	59.95577	74.60801
1601482240.0	66.63556	60.23768	74.94852
1601482239.0	66.79655	61.51968	71.73775
1601482238.0	67.93935	64.91567	71.27914
1601482237.0	69.36421	65.94127	71.08263
1601482236.0	68.31056	67.6414	69.43648
1601482235.0	70.71382	69.64776	69.30816
1601482234.0	72.26884	69.57292	68.05464
1601482233.0	72.45462	67.8209	66.77816
1601482232.0	75.39968	67.60989	66.12137
1601482231.0	77.53019	66.54309	65.38904
1601482230.0	78.0476	64.47372	68.03003
1601482229.0	79.26486	62.97613	65.25517
1601482228.0	77.51849	63.5639	64.56998
1601482227.0	76.12759	58.14653	64.39015
1601482226.0	74.71143	57.54174	63.04515
1601482225.0	74.08585	61.49684	63.63515
1601482224.0	72.92598	57.36712	63.35301
1601482223.0	70.6176	58.19032	61.57193
1601482222.0	72.23631	57.57371	62.04013
1601482221.0	74.7476	57.56798	63.13786
1601482220.0	77.88094	58.93364	63.74104
1601482219.0	80.23057	60.61416	61.901
1601482218.0	81.84548	61.66549	63.48425
1601482217.0	83.81998	63.15256	63.28843
1601482216.0	80.71396	65.793	64.47003
1601482215.0	78.7565	65.81528	64.26559
1601482214.0	77.35805	65.51518	65.27044
1601482213.0	75.54025	65.66193	67.14732
1601482212.0	75.51038	64.76176	67.62766
1601482211.0	72.41215	62.70853	68.21893
1601482210.0	72.10738	61.95126	68.97082
1601482209.0	69.60456	62.48072	69.76858
1601482208.0	68.27812	60.82727	71.07701
1601482207.0	67.91842	60.03062	70.58471
1601482206.0	68.83767	62.64803	72.81991
1601482205.0	69.94161	60.0485	71.40041
1601482204.0	68.35506	61.85344	74.33034
1601482203.0	68.08701	61.38121	72.93482
1601482202.0	67.54283	61.86529	75.55109
1601482201.0	70.44485	62.54179	79.40158
1601482200.0	66.45042	59.53158	77.59084
1601482199.0	68.349	59.71513	77.21664
1601482198.0	65.42409	59.36047	77.17138
1601482197.0	65.02813	60.71477	75.53047
1601482196.0	66.39202	61.13763	73.09695
1601482195.0	67.81832	61.5784	72.54472
1601482194.0	70.47785	63.09907	74.15934
1601482193.0	70.40296	66.26964	69.13068
1601482192.0	71.5986	67.71332	69.86967
1601482191.0	72.50953	70.43117	69.35805
1601482190.0	73.31047	70.99595	69.48864
1601482189.0	74.96331	69.03773	67.91759
1601482188.0	75.79999	67.44136	66.73841
1601482187.0	75.46055	66.65485	65.11795
1601482186.0	78.25607	65.1291	66.71307
1601482185.0	75.25515	63.18963	64.48057
1601482184.0	77.642	62.64896	64.35677
1601482183.0	77.17774	62.75536	63.92146
1601482182.0	76.21788	61.18389	62.09637
1601482181.0	73.61788	60.24998	63.1656
1601482180.0	74.05231	57.61747	63.2793
1601482179.0	71.81162	58.48802	60.34417
1601482178.0	72.40321	61.15764	65.2415
1601482177.0	72.24286	60.0691	63.41206
1601482176.0	72.47681	59.63409	64.40436
1601482175.0	74.50161	58.80163	61.97863
1601482174.0	74.91647	60.20558	62.89646
1601482173.0	77.81123	59.31091	61.70362
1601482172.0	80.7923	61.02798	63.56797
1601482171.0	82.04463	62.05051	63.72107
1601482170.0	83.19569	64.51793	64.22937
1601482169.0	79.53864	66.17678	63.88312
1601482168.0	79.52021	66.58801	65.92455
1601482167.0	75.69014	65.46082	66.98007
1601482166.0	73.54665	64.8698	67.17089
1601482165.0	75.24293	63.72374	69.26243
1601482164.0	72.87643	62.71176	66.82416
1601482163.0	70.86852	62.58263	69.29331
1601482162.0	69.92081	62.19894	69.69933
1601482161.0	69.34305	60.7024	71.13621
1601482160.0	68.51139	60.55624	70.86926
1601482159.0	68.51537	59.46429	74.01611
1601482158.0	70.51941	61.45	74.12142
1601482157.0	72.63876	60.98762	74.75645
1601482156.0	69.67891	62.19277	73.95252
1601482155.0	71.55828	61.03402	76.84493
1601482154.0	75.47729	63.05192	79.63738
1601482153.0	68.44816	65.11116	79.07102
1601482152.0	69.80768	59.17263	76.74513
